loss: 2.6135 | epoch: 80/50000 | score: 76 | time left: 3 days, 10:08:10 | avg_q: -29.1530 | epsilon: 0.96 | reward: -121 | avg time per epoch: 0:00:05 | time elapsed: 0:07:59 | 
loss: 3.1818 | epoch: 81/50000 | score: 70 | time left: 3 days, 10:26:31 | avg_q: -31.7721 | epsilon: 0.96 | reward: -120 | avg time per epoch: 0:00:05 | time elapsed: 0:08:07 | 
loss: 2.7984 | epoch: 82/50000 | score: 42 | time left: 3 days, 10:15:48 | avg_q: -25.3386 | epsilon: 0.96 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:08:12 | 
loss: 0.6737 | epoch: 83/50000 | score: 61 | time left: 3 days, 10:25:48 | avg_q: -27.9025 | epsilon: 0.96 | reward: -120 | avg time per epoch: 0:00:05 | time elapsed: 0:08:19 | 
loss: 3.8700 | epoch: 84/50000 | score: 42 | time left: 3 days, 10:15:18 | avg_q: -26.4139 | epsilon: 0.96 | reward: -110 | avg time per epoch: 0:00:05 | time elapsed: 0:08:24 | 
loss: 2.6852 | epoch: 85/50000 | score: 42 | time left: 3 days, 10:05:04 | avg_q: -30.8907 | epsilon: 0.96 | reward: -107 | avg time per epoch: 0:00:05 | time elapsed: 0:08:29 | 
loss: 1.3211 | epoch: 86/50000 | score: 57 | time left: 3 days, 10:10:36 | avg_q: -25.1614 | epsilon: 0.96 | reward: -118 | avg time per epoch: 0:00:05 | time elapsed: 0:08:35 | 
loss: 3.6911 | epoch: 87/50000 | score: 62 | time left: 3 days, 10:20:45 | avg_q: -24.7467 | epsilon: 0.96 | reward: -119 | avg time per epoch: 0:00:05 | time elapsed: 0:08:42 | 
loss: 0.4328 | epoch: 88/50000 | score: 50 | time left: 3 days, 10:17:51 | avg_q: -23.6612 | epsilon: 0.96 | reward: -111 | avg time per epoch: 0:00:05 | time elapsed: 0:08:48 | 
loss: 0.4726 | epoch: 89/50000 | score: 42 | time left: 3 days, 10:07:59 | avg_q: -18.5245 | epsilon: 0.96 | reward: -111 | avg time per epoch: 0:00:05 | time elapsed: 0:08:53 | 
loss: 0.3688 | epoch: 90/50000 | score: 50 | time left: 3 days, 10:06:26 | avg_q: -20.9815 | epsilon: 0.96 | reward: -113 | avg time per epoch: 0:00:05 | time elapsed: 0:08:58 | 
loss: 1.7271 | epoch: 91/50000 | score: 51 | time left: 3 days, 10:06:01 | avg_q: -16.1624 | epsilon: 0.96 | reward: -122 | avg time per epoch: 0:00:05 | time elapsed: 0:09:04 | 
loss: 0.4706 | epoch: 92/50000 | score: 52 | time left: 3 days, 10:06:03 | avg_q: -11.3950 | epsilon: 0.95 | reward: -112 | avg time per epoch: 0:00:05 | time elapsed: 0:09:10 | 
loss: 3.0004 | epoch: 93/50000 | score: 42 | time left: 3 days, 9:56:43 | avg_q: -10.0343 | epsilon: 0.95 | reward: -111 | avg time per epoch: 0:00:05 | time elapsed: 0:09:15 | 
loss: 1.7321 | epoch: 94/50000 | score: 59 | time left: 3 days, 10:03:22 | avg_q: -10.4426 | epsilon: 0.95 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:09:22 | 
loss: 1.5222 | epoch: 95/50000 | score: 57 | time left: 3 days, 10:08:35 | avg_q: -11.1961 | epsilon: 0.95 | reward: -115 | avg time per epoch: 0:00:05 | time elapsed: 0:09:28 | 
loss: 1.5704 | epoch: 96/50000 | score: 42 | time left: 3 days, 9:59:35 | avg_q: -12.1006 | epsilon: 0.95 | reward: -113 | avg time per epoch: 0:00:05 | time elapsed: 0:09:33 | 
loss: 4.1632 | epoch: 97/50000 | score: 49 | time left: 3 days, 9:57:07 | avg_q: -12.2520 | epsilon: 0.95 | reward: -114 | avg time per epoch: 0:00:05 | time elapsed: 0:09:39 | 
loss: 1.4912 | epoch: 98/50000 | score: 42 | time left: 3 days, 9:48:33 | avg_q: -11.4017 | epsilon: 0.95 | reward: -110 | avg time per epoch: 0:00:05 | time elapsed: 0:09:44 | 
loss: 2.9323 | epoch: 99/50000 | score: 51 | time left: 3 days, 9:47:33 | avg_q: -9.5551 | epsilon: 0.95 | reward: -113 | avg time per epoch: 0:00:05 | time elapsed: 0:09:50 | 
loss: 0.1840 | epoch: 100/50000 | score: 60 | time left: 3 days, 9:55:02 | avg_q: -9.3342 | epsilon: 0.95 | reward: -118 | avg time per epoch: 0:00:05 | time elapsed: 0:09:56 | 
loss: 1.5516 | epoch: 101/50000 | score: 52 | time left: 3 days, 9:54:57 | avg_q: -8.5795 | epsilon: 0.95 | reward: -114 | avg time per epoch: 0:00:05 | time elapsed: 0:10:02 | 
loss: 5.7665 | epoch: 102/50000 | score: 42 | time left: 3 days, 9:46:41 | avg_q: -9.9782 | epsilon: 0.95 | reward: -112 | avg time per epoch: 0:00:05 | time elapsed: 0:10:07 | 
loss: 0.2380 | epoch: 103/50000 | score: 74 | time left: 3 days, 10:05:00 | avg_q: -8.3191 | epsilon: 0.95 | reward: -121 | avg time per epoch: 0:00:05 | time elapsed: 0:10:15 | 
loss: 1.5699 | epoch: 104/50000 | score: 53 | time left: 3 days, 10:05:13 | avg_q: -9.0801 | epsilon: 0.95 | reward: -110 | avg time per epoch: 0:00:05 | time elapsed: 0:10:21 | 
loss: 0.1517 | epoch: 105/50000 | score: 42 | time left: 3 days, 9:57:13 | avg_q: -7.7278 | epsilon: 0.95 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:10:26 | 
loss: 0.1558 | epoch: 106/50000 | score: 72 | time left: 3 days, 10:13:37 | avg_q: -6.4833 | epsilon: 0.95 | reward: -120 | avg time per epoch: 0:00:05 | time elapsed: 0:10:34 | 
loss: 0.1422 | epoch: 107/50000 | score: 52 | time left: 3 days, 10:13:37 | avg_q: -5.6191 | epsilon: 0.94 | reward: -116 | avg time per epoch: 0:00:05 | time elapsed: 0:10:40 | 
loss: 3.0084 | epoch: 108/50000 | score: 42 | time left: 3 days, 10:05:28 | avg_q: -4.9168 | epsilon: 0.94 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:10:45 | 
loss: 1.5823 | epoch: 109/50000 | score: 42 | time left: 3 days, 9:58:20 | avg_q: -4.5586 | epsilon: 0.94 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:10:50 | 
loss: 1.5595 | epoch: 110/50000 | score: 42 | time left: 3 days, 9:50:22 | avg_q: -3.9532 | epsilon: 0.94 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:10:55 | 
