loss: 14.4286 | epoch: 91/20000 | score: 42 | time left: 1 day, 8:15:00 | avg_q: 125.7262 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:08:56 | 
loss: 6.8894 | epoch: 92/20000 | score: 49 | time left: 1 day, 8:14:25 | avg_q: 105.1269 | epsilon: 1.0 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:09:02 | 
loss: 10.7451 | epoch: 93/20000 | score: 52 | time left: 1 day, 8:14:50 | avg_q: 116.1962 | epsilon: 1.0 | reward: -83 | avg time per epoch: 0:00:05 | time elapsed: 0:09:08 | 
loss: 9.9736 | epoch: 94/20000 | score: 49 | time left: 1 day, 8:14:14 | avg_q: 111.4986 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:09:13 | 
loss: 3.0182 | epoch: 95/20000 | score: 65 | time left: 1 day, 8:19:22 | avg_q: 121.0189 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:09:21 | 
loss: 3.6402 | epoch: 96/20000 | score: 51 | time left: 1 day, 8:19:16 | avg_q: 113.1523 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:09:27 | 
loss: 13.4869 | epoch: 97/20000 | score: 51 | time left: 1 day, 8:19:13 | avg_q: 107.4796 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:09:32 | 
loss: 7.1572 | epoch: 98/20000 | score: 41 | time left: 1 day, 8:15:47 | avg_q: 95.5068 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:09:37 | 
loss: 1.7198 | epoch: 99/20000 | score: 54 | time left: 1 day, 8:16:44 | avg_q: 97.0898 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:09:43 | 
loss: 2.3991 | epoch: 100/20000 | score: 60 | time left: 1 day, 8:20:03 | avg_q: 113.0157 | epsilon: 1.0 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:09:50 | 
loss: 9.0620 | epoch: 101/20000 | score: 41 | time left: 1 day, 8:17:43 | avg_q: 107.5948 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:09:55 | 
loss: 9.0916 | epoch: 102/20000 | score: 47 | time left: 1 day, 8:16:16 | avg_q: 90.6869 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:10:01 | 
loss: 2.1160 | epoch: 103/20000 | score: 41 | time left: 1 day, 8:13:16 | avg_q: 103.8023 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:10:06 | 
loss: 8.6852 | epoch: 104/20000 | score: 48 | time left: 1 day, 8:12:15 | avg_q: 97.8171 | epsilon: 1.0 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:10:11 | 
loss: 2.3432 | epoch: 105/20000 | score: 41 | time left: 1 day, 8:09:20 | avg_q: 93.8718 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:10:16 | 
loss: 9.2314 | epoch: 106/20000 | score: 41 | time left: 1 day, 8:06:29 | avg_q: 107.5827 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:10:21 | 
loss: 1.9464 | epoch: 107/20000 | score: 56 | time left: 1 day, 8:07:56 | avg_q: 106.7556 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:10:28 | 
loss: 8.6473 | epoch: 108/20000 | score: 41 | time left: 1 day, 8:04:45 | avg_q: 90.0116 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:10:32 | 
loss: 1.6450 | epoch: 109/20000 | score: 42 | time left: 1 day, 8:01:59 | avg_q: 95.7352 | epsilon: 0.99 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:10:37 | 
loss: 5.7384 | epoch: 110/20000 | score: 41 | time left: 1 day, 7:59:01 | avg_q: 116.0007 | epsilon: 0.99 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:10:42 | 
loss: 2.4530 | epoch: 111/20000 | score: 41 | time left: 1 day, 7:56:26 | avg_q: 156.7774 | epsilon: 0.99 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:10:47 | 
loss: 2.2430 | epoch: 112/20000 | score: 61 | time left: 1 day, 7:59:34 | avg_q: 159.8574 | epsilon: 0.99 | reward: -85 | avg time per epoch: 0:00:05 | time elapsed: 0:10:54 | 
loss: 6.4019 | epoch: 113/20000 | score: 52 | time left: 1 day, 8:00:03 | avg_q: 173.2384 | epsilon: 0.99 | reward: -95 | avg time per epoch: 0:00:05 | time elapsed: 0:11:00 | 
loss: 6.7734 | epoch: 114/20000 | score: 41 | time left: 1 day, 7:57:31 | avg_q: 174.6149 | epsilon: 0.99 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:11:05 | 
loss: 7.5931 | epoch: 115/20000 | score: 51 | time left: 1 day, 7:57:38 | avg_q: 159.1679 | epsilon: 0.99 | reward: -85 | avg time per epoch: 0:00:05 | time elapsed: 0:11:11 | 
loss: 2.7982 | epoch: 116/20000 | score: 85 | time left: 1 day, 8:07:53 | avg_q: 166.8078 | epsilon: 0.99 | reward: -69 | avg time per epoch: 0:00:05 | time elapsed: 0:11:20 | 
loss: 3.1564 | epoch: 117/20000 | score: 42 | time left: 1 day, 8:05:20 | avg_q: 200.6451 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:11:25 | 
loss: 17.8809 | epoch: 118/20000 | score: 67 | time left: 1 day, 8:10:18 | avg_q: 177.0531 | epsilon: 0.99 | reward: -82 | avg time per epoch: 0:00:05 | time elapsed: 0:11:33 | 
loss: 20.7196 | epoch: 119/20000 | score: 42 | time left: 1 day, 8:07:45 | avg_q: 166.0017 | epsilon: 0.99 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:11:38 | 
loss: 6.2231 | epoch: 120/20000 | score: 43 | time left: 1 day, 8:05:17 | avg_q: 179.5393 | epsilon: 0.99 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:11:43 | 
loss: 11.7322 | epoch: 121/20000 | score: 48 | time left: 1 day, 8:05:05 | avg_q: 142.4458 | epsilon: 0.99 | reward: -85 | avg time per epoch: 0:00:05 | time elapsed: 0:11:48 | 
loss: 9.3373 | epoch: 122/20000 | score: 53 | time left: 1 day, 8:05:51 | avg_q: 143.8093 | epsilon: 0.99 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:11:55 | 
loss: 13.4816 | epoch: 123/20000 | score: 42 | time left: 1 day, 8:03:25 | avg_q: 125.9354 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:11:59 | 
loss: 5.8854 | epoch: 124/20000 | score: 52 | time left: 1 day, 8:03:48 | avg_q: 125.4729 | epsilon: 0.98 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:12:05 | 
loss: 5.4652 | epoch: 125/20000 | score: 43 | time left: 1 day, 8:01:26 | avg_q: 109.2736 | epsilon: 0.98 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:12:10 | 
loss: 4.6626 | epoch: 126/20000 | score: 68 | time left: 1 day, 8:06:01 | avg_q: 127.0242 | epsilon: 0.98 | reward: -75 | avg time per epoch: 0:00:05 | time elapsed: 0:12:18 | 
loss: 5.5484 | epoch: 127/20000 | score: 42 | time left: 1 day, 8:03:36 | avg_q: 126.7390 | epsilon: 0.98 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:12:23 | 
loss: 8.7271 | epoch: 128/20000 | score: 77 | time left: 1 day, 8:10:56 | avg_q: 141.8425 | epsilon: 0.98 | reward: -79 | avg time per epoch: 0:00:05 | time elapsed: 0:12:32 | 
loss: 6.0900 | epoch: 129/20000 | score: 51 | time left: 1 day, 8:11:11 | avg_q: 113.9092 | epsilon: 0.98 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:12:38 | 
loss: 4.9688 | epoch: 130/20000 | score: 42 | time left: 1 day, 8:08:48 | avg_q: 99.9682 | epsilon: 0.98 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:12:42 | 
loss: 1.4177 | epoch: 131/20000 | score: 60 | time left: 1 day, 8:11:27 | avg_q: 102.4207 | epsilon: 0.98 | reward: -82 | avg time per epoch: 0:00:05 | time elapsed: 0:12:49 | 
loss: 4.5199 | epoch: 132/20000 | score: 41 | time left: 1 day, 8:08:46 | avg_q: 111.5545 | epsilon: 0.98 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:12:54 | 
