loss: 17.0539 | epoch: 114/30000 | score: 41 | time left: 1 day, 22:36:42 | avg_q: 8.1927 | epsilon: 0.96 | reward: -141 | avg time per epoch: 0:00:05 | time elapsed: 0:10:40 | 
loss: 10.6787 | epoch: 115/30000 | score: 42 | time left: 1 day, 22:33:38 | avg_q: 7.1768 | epsilon: 0.96 | reward: -131 | avg time per epoch: 0:00:05 | time elapsed: 0:10:44 | 
loss: 10.4218 | epoch: 116/30000 | score: 41 | time left: 1 day, 22:30:29 | avg_q: 8.0033 | epsilon: 0.96 | reward: -137 | avg time per epoch: 0:00:05 | time elapsed: 0:10:49 | 
loss: 7.0153 | epoch: 117/30000 | score: 41 | time left: 1 day, 22:27:06 | avg_q: 7.6087 | epsilon: 0.96 | reward: -136 | avg time per epoch: 0:00:05 | time elapsed: 0:10:54 | 
loss: 13.6807 | epoch: 118/30000 | score: 41 | time left: 1 day, 22:23:47 | avg_q: 7.6711 | epsilon: 0.96 | reward: -138 | avg time per epoch: 0:00:05 | time elapsed: 0:10:59 | 
loss: 7.2998 | epoch: 119/30000 | score: 49 | time left: 1 day, 22:24:16 | avg_q: 7.9579 | epsilon: 0.96 | reward: -145 | avg time per epoch: 0:00:05 | time elapsed: 0:11:05 | 
loss: 13.5386 | epoch: 120/30000 | score: 50 | time left: 1 day, 22:25:04 | avg_q: 7.5974 | epsilon: 0.96 | reward: -156 | avg time per epoch: 0:00:05 | time elapsed: 0:11:11 | 
loss: 7.3631 | epoch: 121/30000 | score: 49 | time left: 1 day, 22:25:31 | avg_q: 9.0459 | epsilon: 0.96 | reward: -137 | avg time per epoch: 0:00:05 | time elapsed: 0:11:16 | 
loss: 17.1250 | epoch: 122/30000 | score: 42 | time left: 1 day, 22:23:26 | avg_q: 7.2019 | epsilon: 0.96 | reward: -125 | avg time per epoch: 0:00:05 | time elapsed: 0:11:21 | 
loss: 10.9219 | epoch: 123/30000 | score: 51 | time left: 1 day, 22:24:19 | avg_q: 7.7625 | epsilon: 0.96 | reward: -146 | avg time per epoch: 0:00:05 | time elapsed: 0:11:27 | 
